pid,hid,area_siz,gender,age_gr,age,mob_use,sns_use,freq_sns1,year
1320101,13201,1,1,4,30,1,1,12,2015
1320102,13201,1,2,3,25,1,1,12,2015
1330001,13300,1,2,6,53,1,2, ,2015
1340001,13400,1,1,4,34,1,2, ,2015
1340002,13400,1,2,4,34,1,1,12,2015
1350001,13500,1,2,7,65,1,2, ,2015
1360001,13600,1,1,7,69,1,2, ,2015
1360002,13600,1,2,7,61,1,2, ,2015
1380001,13800,1,1,7,66,1,2, ,2015
1380002,13800,1,2,7,65,1,2, ,2015
1470003,14700,1,2,3,26,1,1,1,2015
1480002,14800,1,2,5,42,1,1,12,2015
1490001,14900,1,1,4,36,1,1,12,2015
1490002,14900,1,2,4,32,1,2, ,2015
1500002,15000,1,2,5,40,1,1,12,2015
1510002,15100,1,2,6,58,1,2, ,2015
1520002,15200,1,2,7,65,1,1,12,2015
1530002,15300,1,2,6,58,1,1,12,2015
1540001,15400,1,1,6,57,1,2, ,2015
1540002,15400,1,2,6,56,1,2, ,2015
1540003,15400,1,1,3,29,1,2, ,2015
1550001,15500,1,2,4,33,1,2, ,2015
1560001,15600,1,2,6,59,1,2, ,2015
1560002,15600,1,1,4,34,1,1,2,2015
1570001,15700,1,2,5,46,1,2, ,2015
1580001,15800,1,2,6,57,1,2, ,2015
1590001,15900,1,1,6,56,1,1,16,2015
1590002,15900,1,2,6,53,1,1,12,2015
1600001,16000,1,2,4,32,1,2, ,2015
1610001,16100,1,1,6,59,1,1,2,2015
1610002,16100,1,2,6,55,1,1,2,2015
1620001,16200,1,2,4,35,1,1,3,2015
1630001,16300,1,1,5,49,1,2, ,2015
1630002,16300,1,2,5,49,1,2, ,2015
1640001,16400,1,1,6,50,1,1,2,2015
1640002,16400,1,2,5,47,1,2, ,2015
1650001,16500,1,1,5,41,1,1,2,2015
1650002,16500,1,2,5,40,1,1,2,2015
1660001,16600,1,1,5,49,1,1,2,2015
1660002,16600,1,2,5,40,1,1,2,2015
1670001,16700,1,1,5,40,1,1,1,2015
1670002,16700,1,2,4,35,1,1,2,2015
1680002,16800,1,2,5,46,1,2, ,2015
1680003,16800,1,1,3,20,1,1,2,2015
1690001,16900,1,1,5,42,1,1,2,2015
1690002,16900,1,2,5,40,1,1,2,2015
1700001,17000,1,1,5,40,1,1,2,2015
1700002,17000,1,2,4,35,1,1,2,2015
1710001,17100,1,1,5,49,1,1,2,2015
1710002,17100,1,2,5,47,1,2, ,2015
1720001,17200,1,1,5,46,1,2, ,2015
1720002,17200,1,2,5,42,1,2, ,2015
1730001,17300,1,1,5,40,1,2, ,2015
1730002,17300,1,2,4,39,1,1,2,2015
1740001,17400,1,1,6,52,1,2, ,2015
1740002,17400,1,2,6,50,1,2, ,2015
1750001,17500,1,1,5,47,1,1,1,2015
1750002,17500,1,2,5,47,1,1,17,2015
1760001,17600,1,1,5,49,1,1,2,2015
1760002,17600,1,2,5,43,1,1,2,2015
1760004,17600,1,2,2,14,1,1,17,2015
1770001,17700,1,1,5,46,1,1,16,2015
1770002,17700,1,2,5,46,1,2, ,2015
1780001,17800,1,1,4,38,1,2, ,2015
1780002,17800,1,2,4,35,1,1,1,2015
1790002,17900,1,2,5,47,1,2, ,2015
1790004,17900,1,2,2,16,1,2, ,2015
1800001,18000,1,1,5,48,1,1,16,2015
1800002,18000,1,2,5,45,1,1,16,2015
1810001,18100,1,1,8,75,1,2, ,2015
1810002,18100,1,2,7,68,1,2, ,2015
1820002,18200,1,2,5,40,1,2, ,2015
1830002,18300,1,2,5,44,1,1,12,2015
1840001,18400,1,1,5,47,1,2, ,2015
1850002,18500,1,2,5,41,1,1,16,2015
1850003,18500,1,2,2,19,1,1,1,2015
1860002,18600,1,2,5,46,1,1,12,2015
1870001,18700,1,1,5,41,1,1,16,2015
1870002,18700,1,2,5,40,1,2, ,2015
1880001,18800,1,1,6,52,1,2, ,2015
1880002,18800,1,2,5,48,1,2, ,2015
1890001,18900,1,1,8,76,1,2, ,2015
1890002,18900,1,2,8,73,1,2, ,2015
1900001,19000,1,1,4,37,1,1,1,2015
1900002,19000,1,2,4,38,1,1,16,2015
1910001,19100,1,1,6,59,1,2, ,2015
