사업장명,도로명전체,인허가일자,영업상태명,위생업태명,x_wgs84,y_wgs84
커피하우스,"경기도 수원시 장안구 정자로41번길 9, 1층 (천천동)",20130627,운영중,커피숍,126.98112991784299,37.30110455524186
(주)메가마트 삼성전자수원 하우젠홀카페,"경기도 수원시 영통구 삼성로 130 (매탄동, 560 외13필지 전자연구단지 U-U6동 지하1층일부)",20130712,운영중,커피숍,127.05574996010976,37.25254030171819
카페베네 팔달문메가박스점,"경기도 수원시 팔달구 행궁로 71, 1층 (팔달로3가)",20131218,운영중,커피숍,127.01592843239678,37.27628662491052
커피하우스,"경기도 수원시 장안구 금당로9번길 64, 1층 (조원동)",20140114,운영중,커피숍,127.01255025699176,37.30381157535349
꿈볶는카페,"경기도 수원시 장안구 수성로 311, 1층 (정자동)",20140120,운영중,커피숍,127.00590533427,37.292090819376156
핀(FIN),"경기도 수원시 권선구 효원로230번길 38 (권선동, 올림픽공원 대우미래사랑 101동 103호)",20141110,운영중,커피숍,127.02588334939446,37.26109569885976
자바데이브커피전문점,경기도 수원시 팔달구 수원천로 245 (영동),20071109,운영중,커피숍,127.01936947099075,37.275477281482964
이브,"경기도 수원시 장안구 경수대로 935 (송죽동,동양파라곤 110호)",20080523,폐업 등,커피숍,127.00786213327237,37.30192661980176
사과커피숍,경기도 수원시 장안구 파장로 81 (정자동),19950612,폐업 등,커피숍,126.99150089040147,37.30651284237357
캠비,"경기도 수원시 영통구 아주로 14-5, 2층 (원천동)",20081204,운영중,커피숍,127.04423876923867,37.276256265036444
할리스커피(아주대학교병원점),"경기도 수원시 영통구 월드컵로 206 (원천동,외20필지 23.부속병원)",20060918,운영중,커피숍,127.04543582737402,37.28409257753679
(주)메가마트 삼성전자수원 알4카페,"경기도 수원시 영통구 삼성로 129 (매탄동, 디지털연구소 D-D5동)",20061018,운영중,커피숍,127.05113609115274,37.25584466460214
공유카페 라온,"경기도 수원시 영통구 아주로 26-1 (원천동,지하1층)",20110530,운영중,커피숍,127.04413773008137,37.27723313039467
파스쿠찌수원경기대점,경기도 수원시 장안구 창훈로60번길 40 (연무동),20110701,운영중,커피숍,127.02994716424571,37.2989973875459
헬로파닉스(Hello Phonics),"경기도 수원시 영통구 영통로 195 (망포동, 322-3 외12필지 골든스퀘어 308호)",20130325,폐업 등,커피숍,127.05595631160269,37.24513070537184
나무그림,경기도 수원시 권선구 동수원로146번길 307 (곡반정동),20130725,운영중,커피숍,127.03042633317895,37.24250288891546
커피하우스,경기도 수원시 장안구 정조로1060번길 21-4 (송죽동),20140127,운영중,커피숍,127.00615365258422,37.301435068954895
브레드문,"경기도 수원시 장안구 화산로 87, 103호 (천천동)",20141124,운영중,커피숍,126.98242894435562,37.291718248345354
도넛플랜트뉴욕시티,경기도 수원시 팔달구 효원로 257 (인계동),20110722,운영중,커피숍,127.0301310562046,37.26276659658141
르노삼성엔제리너스수원점,"경기도 수원시 영통구 삼성로 300 (원천동, 원천동318-1외2필지 (주)삼성물산나동 1층)",20120531,운영중,커피숍,127.06617402348147,37.266553868382886
