pid,hid,area,area_siz,hhld_siz,fly_typ,gender,byear,age_gr,age,marry,income_gr,job,job_type,job_etc,mob_use,mob_num,mob_csp,mob_dev,c01,c01_gr,c02,c02_gr,c03,c03_gr,c04,c04_gr,c05,c05_gr,app_pay,appin_pay,app_num,app_num_gr,appin_num,appin_gr,c06,c06_gr,freq_app1,freq_app2,freq_app3,sns_use,freq_sns1,freq_sns2,freq_sns3,cmt_board,wt_board,wt_news,rating,wt_wiki,wt_sns,rating_sns,sns_read,sns_write,sns_share,sns_eng,sns_priv,news_med1,news_med2,news_med3,news_plat1,news_plat2,news_plat3,channel,shop,shop_dev,shop_pay
320001,3200,1,1,3,3,1,1936,8,83,2,2,2, ,4,2, , , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
320002,3200,1,1,3,3,2,1937,8,82,2,2,2, ,2,1,0, , , , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
320003,3200,1,1,3,3,1,1971,5,48,1,1,2, ,4,1,1,3,1, , , , , , , , , , ,2,2, , , , , , ,11,19,18,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,6, , , 
330001,3300,1,1,1,1,2,1939,8,80,3,2,2, ,2,1,0, , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
340001,3400,1,1,3,3,1,1964,6,55,2,5,1,3, ,1,0, , , , , , , , , , , , , , , , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1, , , 
340002,3400,1,1,3,3,2,1966,6,53,2,3,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,19,9,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1,2, , 
340003,3400,1,1,3,3,1,1991,3,28,1,5,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,11,10,19,1,2, , ,1,1,1,1,1,4,4,4,5,5,4,2, , , , , , ,2,1,1,1
340004,3400,1,1,3,3,1,1997,3,22,1,1,2, ,1,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,19,11,10,1,2,15,16,1,1,1,1,1,4,4,2,4,4,4,2, , , , , , ,2,1,1,1
350001,3500,1,1,3,3,1,1955,7,64,2,3,2, ,4,1,1,1,1, , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
350002,3500,1,1,3,3,1,1987,4,32,1,7,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,19,11,17,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1,1,2,1
350003,3500,1,1,3,3,2,1954,7,65,2,1,2, ,2,1,1,3,3, , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
360001,3600,8,1,3,3,1,1972,5,47,2,8,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,19,15,11,2, , , ,1,1,1,1,1,1,1, , , , , ,3,1, ,3,1, ,1,1,3,1
360002,3600,8,1,3,3,2,1977,5,42,2,1,2, ,2,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,19,16,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,1, , , 
370001,3700,8,1,3,3,1,1969,6,50,2,8,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,11,6,18,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,1, , , 
370002,3700,8,1,3,3,2,1969,6,50,2,4,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,19,11,9,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,1, , , 
380001,3800,8,1,3,3,1,1977,5,42,2,10,1,1, ,1,1,1,1, , , , , , , , , , ,2,1, , ,1,1,3,1,19,9,11,2, , , ,1,1,1,1,1,1,1, , , , , ,1,3, ,1,3, ,1,2, , 
380002,3800,8,1,3,3,2,1979,5,40,2,6,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,19,9,1,1,15, ,1,1,1,1,1,1,1,5,5,7,6,3,3,3, ,3,2, ,1,1,3,1
390001,3900,4,1,3,3,2,1968,6,51,2,1,2, ,2,1,1,3,1, , , , , , , , , , ,2,2, , , , , , ,11,19,10,1,12,15, ,1,1,1,1,1,1,1,2,9,9,9,2,3, , ,3, , ,1,1,1,1
390002,3900,4,1,3,3,2,1994,3,25,1,5,1,1, ,1,1,3,3, , , , , , , , , , ,2,2, , , , , , ,11,16,19,1,15,23, ,1,1,1,1,1,4,1,4,4,9,9,2,3, , ,3, , ,1,1,1,3
390003,3900,4,1,3,3,1,1997,3,22,1,1,2, ,1,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,11,3,16,1,23, , ,1,1,1,1,1,1,1,7,9,9,8,2,3, , ,3, , ,1,1,1,1
390004,3900,4,1,3,3,1,1967,6,52,2,12,1,1, ,1,1,1,1, , , , , , ,9,2, , ,2,2, , , , , , ,16,11,9,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,1,1,1,1
400001,4000,4,1,3,3,1,1957,7,62,2,6,1,1, ,1,1,3,2, , , , , , , , , , ,2,2, , , , , , ,11,19,18,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
400002,4000,4,1,3,3,2,1961,6,58,2,6,1,1, ,1,1,3,2, , , , , , , , , , ,2,2, , , , , , ,11,19,4,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,7, , , 
410002,4100,4,1,2,3,2,1965,6,54,4,1,2, ,2,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,11,9,19,1,23, , ,1,1,1,1,1,1,1,4,9,9,9,2,3, , ,3, , ,7, , , 
410003,4100,4,1,2,3,2,2004,2,15,1,1,2, ,1,1,1,2,1, , , , , , ,0,1, , ,2,2, , , , , , ,19,16,11,1,23,15, ,1,1,1,1,1,1,1,4,9,9,9,2, , , , , , ,1, , , 
420001,4200,4,1,3,3,1,1980,4,39,2,7,1,1, ,1,1,2,2, , , , ,0,1, , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7, , , 
420002,4200,4,1,3,3,2,1980,4,39,2,1,2, ,2,1,1,2,2, , , , , , , , , , ,2,2, , , , , , ,11,3,16,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,7,1,1,1
420003,4200,4,1,3,3,1,2007,2,12,1,1,2, ,1,1,1,2,2, , , , , , , , , , ,2,2, , , , , , ,3,18, ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
430001,4300,4,2,3,3,1,1981,4,38,2,8,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,6,12,8,2, , , ,1,1,1,1,1,1,1, , , , , ,3,4,2,3,3,2,7,1,1,2
430002,4300,4,2,3,3,2,1981,4,38,2,4,1,1, ,1,1,1,1, , , , , , , , , , ,2,2, , , , , , ,5,17,19,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,1,1,1,2
430003,4300,4,2,3,3,1,2009,2,10,1,1,2, ,1,1,1,1,1, , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
430004,4300,4,2,3,3,1,2011,1,8,1,1,2, ,1,1,1,1,2, , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
440001,4400,4,1,3,3,1,1962,6,57,2,1,2, ,4,1,1,4,2, , , , , , , , , , ,2,2, , , , , , ,17,19,11,2, , , ,1,1,1,1,1,1,1, , , , , ,3, , ,3, , ,1, , , 
440002,4400,4,1,3,3,2,1965,6,54,2,1,2, ,2,1,1,4,1, , , , , , , , , , ,2,2, , , , , , ,17,19,11,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , ,6, , , 
440003,4400,4,1,3,3,2,1990,3,29,1,5,1,1, ,1,1,3,2, , , , , , ,5,2, , ,2,2, , , , , , ,19,17,16,2, , , ,1,1,1,1,1,1,1, , , , , ,4, , ,3, , ,1,1,1,4
440004,4400,4,1,3,3,2,1993,3,26,1,5,1,1, ,1,1,3,1, , , , , , ,1,1, , ,2,1, , ,2,1,5,2,11,19,18,1,15,2,20,1,1,1,1,1,4,4,1,6,7,1,1, , , , , , ,2,1,1,4
450001,4500,4,1,3,3,1,1975,5,44,2,11,1,1, ,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,17,19,11,1,23,2, ,1,1,1,1,1,1,1,2,9,9,9,3, , , , , , ,7, , , 
450002,4500,4,1,3,3,2,1977,5,42,2,1,2, ,2,1,1,2,1, , , , , , , , , , ,2,2, , , , , , ,11,6,19,1,2,23, ,1,1,1,1,1,1,1,1,9,9,6,3, , , , , , ,5,1,1,2
450003,4500,4,1,3,3,2,2006,2,13,1,1,2, ,1,1,1,3,2, , , , , , , , , , ,2,2, , , , , , , , , ,1,23, , ,1,1,1,1,1,1,1,4,9,9,9,3, , , , , , ,6, , , 
450004,4500,4,1,3,3,2,2006,2,13,1,1,2, ,1,1,1,3,2, , , , , , , , , , ,2,2, , , , , , , , , ,1,23, , ,1,1,1,1,1,1,1,4,9,9,9,3, , , , , , ,7, , , 
450005,4500,4,1,3,3,2,2008,2,11,1,1,2, ,1,1,1,2,1, , , , , , , , , , ,2,2, , , , , , , , , ,2, , , ,1,1,1,1,1,1,1, , , , , , , , , , , , , , , 
