20119341,25,아이들...,2011-02-17,"13,579,712,500",1.1%,"1,867,849",504,"41,515"
20102417,26,걸리버 여행기,2011-01-27,"16,441,365,500",1.3%,"1,762,071",527,"41,181"
20102415,27,평양성,2011-01-27,"12,684,530,500",1.0%,"1,717,566",483,"41,860"
20110211,28,토르: 천둥의 신,2011-04-28,"15,985,737,000",1.3%,"1,694,562",496,"45,188"
20101223,29,헬로우 고스트,2010-12-22,"12,260,693,000",1.0%,"1,663,550",418,"34,713"
20119337,30,그대를 사랑합니다,2011-02-17,"12,041,827,000",1.0%,"1,645,505",292,"57,869"
20119577,31,블랙 스완,2011-02-24,"12,484,661,500",1.0%,"1,623,310",344,"46,840"
20110185,32,분노의 질주: 언리미티드,2011-04-20,"12,292,868,000",1.0%,"1,621,973",457,"43,329"
20110295,33,마이 웨이,2011-12-21,"11,813,839,000",1.0%,"1,586,042",645,"29,481"
20110905,34,브레이킹 던 part1,2011-11-30,"10,692,564,000",0.9%,"1,459,449",636,"43,060"
20111987,35,신들의 전쟁,2011-11-10,"11,726,682,000",0.9%,"1,338,411",525,"46,169"
20119707,36,월드 인베이젼,2011-03-10,"9,799,358,000",0.8%,"1,307,873",441,"44,241"
20112621,37,셜록홈즈 : 그림자 게임,2011-12-21,"9,502,305,000",0.8%,"1,289,857",370,"20,512"
20110221,38,소스 코드,2011-05-04,"9,640,238,500",0.8%,"1,277,690",403,"38,744"
20110906,39,특수본,2011-11-24,"8,096,052,500",0.7%,"1,118,258",471,"40,881"
20119974,40,수상한 고객들,2011-04-14,"7,953,428,000",0.6%,"1,059,350",411,"33,930"
20112589,41,오직 그대만,2011-10-20,"7,591,008,500",0.6%,"1,027,622",435,"35,365"
20111540,42,개구쟁이 스머프,2011-08-11,"7,722,519,000",0.6%,"1,027,436",399,"18,225"
20101395,43,라푼젤,2011-02-10,"10,161,464,800",0.8%,"1,011,163",328,"22,107"
20101399,44,심장이 뛴다,2011-01-05,"7,538,083,500",0.6%,"1,006,947",445,"26,778"
20111571,45,파퍼씨네 펭귄들,2011-09-07,"7,049,177,000",0.6%,"980,387",333,"26,307"
20102421,46,메가마인드,2011-01-13,"8,688,842,000",0.7%,"875,631",414,"22,905"
20119619,47,체포왕,2011-05-04,"6,413,325,500",0.5%,"870,887",407,"32,545"
19820019,48,만추,2011-02-17,"6,313,817,000",0.5%,"845,845",444,"25,590"
20113260,49,퍼펙트 게임,2011-12-21,"5,996,408,000",0.5%,"811,772",413,"19,726"
20119637,50,킹스 스피치,2011-03-17,"5,963,126,500",0.5%,"806,248",327,"33,979"
20124034,1,도둑들,2012-07-25,"93,664,808,500",6.4%,"12,983,178","1,091","155,392"
20124079,2,"광해, 왕이 된 남자",2012-09-13,"88,899,448,769",6.1%,"12,319,390","1,001","203,400"
20124721,3,어벤져스,2012-04-26,"59,557,853,478",4.1%,"7,074,867",967,"109,697"
20124054,4,늑대소년,2012-10-31,"46,590,107,000",3.2%,"6,654,390",854,"109,069"
20112703,5,다크 나이트 라이즈,2012-07-19,"47,644,838,000",3.3%,"6,396,528","1,210","81,254"
20124067,6,바람과 함께 사라지다,2012-08-08,"34,614,661,161",2.4%,"4,909,937",694,"78,591"
20126077,7,어메이징 스파이더맨,2012-06-28,"41,163,951,235",2.8%,"4,853,123","1,118","92,755"
20113557,8,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,"36,538,823,500",2.5%,"4,719,872",713,"91,889"
20113554,9,내 아내의 모든 것,2012-05-17,"34,223,620,500",2.4%,"4,598,821",563,"91,773"
20124062,10,연가시,2012-07-05,"32,175,400,664",2.2%,"4,515,833",759,"71,928"
