pid,hid,area_siz,gender,age_gr,age,mob_use,mob_num,mob_csp,mob_dev,c01_gr,c02_gr,c03_gr,c04_gr,c05_gr,sns_use,freq_sns1,news_med1,news_med2,news_med3,news_plat1,news_plat2,news_plat3,year
520002,5200,1,2,5,44,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
530001,5300,1,1,7,68,1,0, , , , , , , ,2, , , , , , , ,2016
530002,5300,1,2,7,69,1,0, , , , , , , ,2, , , , , , , ,2016
530003,5300,1,1,5,47,1,1,2,1, , , , , ,2, ,3, , ,3, , ,2016
530004,5300,1,2,5,44,1,1,2,1, , , , , ,2, ,3, , ,3, , ,2016
540001,5400,1,1,7,69,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
540002,5400,1,2,6,59,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
550001,5500,1,1,8,71,1,1,1,1, , , , , ,2, , , , , , , ,2016
550002,5500,1,1,4,35,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
550003,5500,1,2,4,33,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
560001,5600,1,1,5,42,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
560002,5600,1,2,4,39,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
570001,5700,1,1,6,58,1,1,3,1, , , , , ,2, ,3, , ,3, , ,2016
570002,5700,1,2,6,58,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
580001,5800,1,1,8,72,1,0, , , , , , , ,2, , , , , , , ,2016
580002,5800,1,2,7,68,1,0, , , , , , , ,2, , , , , , , ,2016
590001,5900,1,1,5,41,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
600002,6000,1,2,6,54,1,1,3,1, , , , , ,2, ,3, , ,3, , ,2016
600005,6000,1,1,3,20,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
610001,6100,1,2,3,25,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
620001,6200,1,2,4,33,1,1,1,1, , , , , ,1,2, , , , , , ,2016
630001,6300,1,1,4,38,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
630002,6300,1,2,4,36,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
640001,6400,1,2,6,53,1,1,2,1, , , , , ,2, ,3, , ,3, , ,2016
640002,6400,1,1,3,28,1,1,1,1, , , , , ,2, ,3, , ,3, , ,2016
650001,6500,1,1,8,74,1,0, , , , , , , ,2, , , , , , , ,2016
650002,6500,1,2,8,76,1,0, , , , , , , ,2, , , , , , , ,2016
660002,6600,1,2,6,51,1,1,3,2, , , , , ,1,12, , , , , , ,2016
660004,6600,1,1,3,23,1,1,3,2, , , ,1,1,1,12, , , , , , ,2016
670001,6700,1,1,6,50,1,1,1,3,1,1,1, , ,2, ,3, , ,3, , ,2016
670002,6700,1,2,5,48,1,1,1,3,1, , , , ,1,12,1, , ,1, , ,2016
680002,6800,1,2,8,79,1,0, , , , , , , ,2, , , , , , , ,2016
690001,6900,1,1,6,50,1,1,2,1,1, , , , ,1,2,1,3, ,1,3, ,2016
690002,6900,1,2,5,47,1,1,2,1,1, , , , ,2, ,1, , ,1, , ,2016
700001,7000,1,1,6,57,1,1,2,1, , , , , ,2, ,1, , ,1, , ,2016
700002,7000,1,2,6,50,1,1,2,1, , , , , ,2, , , , , , , ,2016
710001,7100,1,1,5,49,1,1,1,1, , , , , ,1,12,1,2, ,1,2, ,2016
710002,7100,1,2,5,45,1,1,1,1, , , , , ,1,12, , , , , , ,2016
720002,7200,1,2,4,33,1,1,1,1, , , ,1, ,1,12, , , , , , ,2016
