사업장명,도로명전체,인허가일자,영업상태명,위생업태명,GRS80_X,GRS80_Y,x_wgs84,y_wgs84
희야네석쇠쭈꾸미,경기도 안양시 만안구 장내로139번길 53 (안양동),20040112,운영중,통닭(치킨),193033.699457,533389.493992,126.921323357398,37.39982948169246
비비큐안양예술공원점,"경기도 안양시 만안구 예술공원로 73, 1층 (안양동)",20030618,운영중,통닭(치킨),192647.745784,535036.161647,126.91694806663426,37.41466329527047
갈레또바베큐,"경기도 안양시 동안구 엘에스로 76 (호계동, 디오밸리 160,161호)",20051128,운영중,통닭(치킨),195758.279614,530256.440623,126.95211241387784,37.37161641231086
맛있네 치킨,"경기도 안양시 동안구 안양판교로 10 (관양동, 1층)",20050406,운영중,통닭(치킨),198005.329527,533518.18313,126.97747205205964,37.40101302721581
치킨뱅뱅,경기도 안양시 동안구 평촌대로107번길 15 (호계동),20050418,운영중,통닭(치킨),196448.87169,531351.509682,126.9599037104878,37.38148615552029
비에이치씨(bhc) 범계점,"경기도 안양시 동안구 평촌대로 221 (호계동, 센터프라자 1층 102,103호)",20041110,운영중,통닭(치킨),196041.399548,532418.894205,126.95529717697354,37.39110188863956
처갓집양념통닭,"경기도 안양시 동안구 관평로 122, 110호 (평촌동, 초원대림아파트상가동)",19961216,운영중,통닭(치킨),196868.685528,532061.12414,126.96464088449947,37.387881461216814
자연담은치킨,경기도 안양시 동안구 관악대로 488 (관양동),20011112,운영중,통닭(치킨),197839.790102,533627.214933,126.97560211985855,37.40199505577576
붉은닭발,"경기도 안양시 동안구 관평로170번길 33 (관양동, 평촌주공공이.212호)",20021015,운영중,통닭(치킨),196657.659952,532627.541863,126.9622554044712,37.39298427682382
씨에스아이 치킨,"경기도 안양시 만안구 양화로136번길 47 (박달동,지상1층)",19980718,운영중,통닭(치킨),192171.816051,534049.560306,126.91158236205199,37.40576993308715
목우촌또래오래치킨,"경기도 안양시 만안구 박달로 533-1, 지상1층 (박달동)",19980430,폐업 등,통닭(치킨),192219.863201,533717.665451,126.91212853582775,37.402779899654966
투다리,경기도 안양시 동안구 운곡로 5 (비산동),19980910,운영중,통닭(치킨),195465.314819,533831.791364,126.94878303256372,37.40382975670957
달봉비어 평촌점,"경기도 안양시 동안구 관평로182번길 30 (관양동, 한솔프라자105호)",19991028,운영중,통닭(치킨),196632.644193,532674.017566,126.96197269339397,37.39340294273986
